"ChemName","mg/L","mg/l NH4","mg/l as N","mg/l","mg/l as P","mg/l asNO3","ug/L as N","mg/l asNO2","%","cm3/g @STP","cm3/g STP","mg/kg","mg/l NO3","mg/l asPO4","NonDetect","TOTAL"
"Ammonia",9578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9578
"Ammonia and ammonium",0,2864,2868,0,0,0,0,0,0,0,0,0,0,0,0,5732
"Ammonia-nitrogen",790,0,0,866,0,0,0,0,0,0,0,0,0,0,2325,3981
"Ammonia-nitrogen as N",0,0,0,1647,0,0,0,0,0,0,0,0,0,0,6,1653
"Ammonium",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
"Ammonium as N",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20
"Hydrolyzable phosphorus plus orthophosphate",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Inorganic nitrogen (nitrate and nitrite)",0,0,3066,0,0,0,0,0,0,0,0,0,0,0,0,3066
"Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite",5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5792
"Inorganic nitrogen (nitrate and nitrite) as N",0,0,0,1607,0,0,0,0,0,0,0,0,0,0,52,1659
"Kjeldahl nitrogen",2207,0,1092,4341,0,0,0,0,0,0,0,0,0,0,783,8423
"Nitrate",1951,0,3003,0,0,2648,9,0,0,0,0,0,0,0,0,7611
"Nitrate + Nitrite",5121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5121
"Nitrate as N",0,0,0,2397,0,0,0,0,0,0,0,0,0,0,932,3329
"Nitrite",3849,0,1155,0,0,0,0,1140,0,0,0,0,0,0,0,6144
"Nitrite as N",0,0,0,18,0,0,0,0,0,0,0,0,0,0,41,59
"Nitrogen",0,0,0,1158,0,0,0,0,27,276,268,0,0,0,0,1729
"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",2151,0,0,3459,0,0,0,0,0,0,0,2,5,0,0,5617
"Nutrient-nitrogen",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21
"Organic Nitrogen",39,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,1170
"Orthophosphate",8576,0,0,0,3813,0,0,0,0,0,0,0,0,3748,0,16137
"Orthophosphate as P",0,0,0,1596,0,0,0,0,0,0,0,0,0,0,29,1625
"Phosphate-phosphorus",2502,0,0,65,0,0,0,0,0,0,0,0,0,0,0,2567
"Phosphate-phosphorus as P",0,0,0,1611,0,0,0,0,0,0,0,0,0,0,0,1611
"Phosphorus",8466,0,0,3414,1635,0,0,0,0,0,0,0,0,0,185,13700
"Soluble Reactive Phosphorus (SRP)",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
"Total Kjeldahl nitrogen (Organic N & NH3)",6333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6333
"Total Phosphorus, mixed forms",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TOTAL",57552,2864,11184,23351,5449,2648,9,1140,27,276,268,2,5,3748,4353,112876
